--offload
MSG:	Starting Offload
timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batteryVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
682162	101272.578125	297.84	-0.804451	0.928950	-10.022128	-0.004256	-0.004256	0.017027	302.21	0.01	1.41	0.65	0.22	4.532356	0	0	0	0	0
687162	101268.796875	297.82	-0.814028	0.981622	-10.012551	-0.009578	-0.004256	0.017027	302.21	0.00	1.39	0.62	0.22	4.859354	0	0	0	0	0
692162	101268.796875	297.82	-0.790086	0.957680	-10.046070	0.001064	0.000000	0.017027	302.21	0.01	0.87	0.25	0.23	4.859354	0	0	0	0	0
697162	101291.859375	297.84	-0.790086	0.938527	-10.055646	-0.002128	0.000000	0.014899	302.36	0.01	1.01	0.31	0.24	2.865092	0	0	0	0	0
702162	101288.078125	297.82	-0.809240	0.948103	-10.022128	-0.006385	-0.005321	0.015963	302.01	0.00	0.53	-0.22	0.23	3.192040	0	0	0	0	0
707162	101288.078125	297.82	-0.785298	0.962469	-10.055646	-0.004256	-0.002128	0.018091	302.21	0.01	1.06	0.21	0.23	3.192040	0	0	0	0	0
712162	101288.078125	297.82	-0.751779	0.995987	-10.041281	0.001064	-0.003192	0.018091	302.16	0.02	1.34	0.45	0.23	3.192040	0	0	0	0	0
717162	101288.078125	297.82	-0.727837	0.876277	-10.012551	-0.017027	-0.018091	0.019156	302.31	0.00	0.31	-0.47	0.24	3.192040	0	0	0	0	0
722162	101288.078125	297.82	-0.766144	0.905008	-10.070012	-0.001064	0.000000	0.017027	302.21	0.02	0.88	0.20	0.25	3.192040	0	0	0	0	0
727162	101288.078125	297.82	-0.751779	0.948103	-10.041281	-0.004256	-0.003192	0.017027	302.21	0.01	0.57	-0.16	0.23	3.192040	0	0	0	0	0
732162	101288.078125	297.82	-0.775721	0.895431	-10.046070	-0.004256	-0.003192	0.017027	302.31	0.00	0.35	-0.45	0.24	3.192040	0	0	0	0	0
737162	101268.796875	297.82	-0.756567	0.881066	-10.065223	-0.003192	0.001064	0.019156	302.31	0.01	1.55	0.76	0.25	4.859354	0	0	0	0	0
742162	101288.078125	297.82	-0.737414	0.861912	-10.041281	-0.004256	-0.004256	0.015963	302.11	0.01	0.88	0.18	0.24	3.192040	0	0	0	0	0
747162	101288.078125	297.82	-0.732625	0.881066	-10.065223	-0.005321	-0.003192	0.017027	302.01	0.00	0.48	-0.21	0.24	3.192040	0	0	0	0	0
752162	101268.796875	297.82	-0.785298	0.905008	-10.117896	0.008513	0.002128	0.013834	302.01	0.01	1.37	0.67	0.24	4.859354	0	0	0	0	0
757162	101265.000000	297.81	-0.756567	0.933738	-10.055646	-0.006385	0.000000	0.015963	302.16	0.01	1.33	0.71	0.24	5.187712	0	0	0	0	0
762162	101265.000000	297.81	-0.742202	0.876277	-10.050858	-0.002128	-0.002128	0.017027	302.16	0.00	1.48	0.82	0.24	5.187712	0	0	0	0	0
767162	101284.281250	297.81	-0.751779	0.928950	-10.041281	-0.004256	-0.005321	0.018091	302.21	0.01	0.52	-0.09	0.25	3.520348	0	0	0	0	0
772162	101280.484375	297.79	-0.751779	0.905008	-10.046070	0.014899	0.002128	0.014899	302.01	0.01	0.68	0.16	0.24	3.848666	0	0	0	0	0
777162	101261.203125	297.79	-0.766144	0.919373	-10.050858	-0.008513	0.001064	0.017027	302.16	0.00	1.31	0.58	0.22	5.516081	0	0	0	0	0
782162	101280.484375	297.79	-0.756567	0.895431	-10.046070	-0.008513	-0.003192	0.019156	302.31	0.01	1.09	0.28	0.22	3.848666	0	0	0	0	0
787162	101276.703125	297.77	-0.732625	0.881066	-10.089165	-0.003192	-0.001064	0.014899	301.96	0.01	1.21	0.43	0.25	4.175642	0	0	0	0	0
792162	101276.703125	297.77	-0.761356	0.895431	-10.036493	-0.003192	-0.003192	0.017027	302.16	0.00	0.72	-0.07	0.23	4.175642	0	0	0	0	0
797162	101295.984375	297.77	-0.737414	0.924161	-9.998186	-0.006385	0.006385	0.020220	301.96	0.02	0.78	0.24	0.23	2.508434	0	0	0	0	0
802162	101292.187500	297.75	-0.766144	0.952892	-10.060435	0.000000	0.002128	0.015963	302.11	0.01	0.64	0.18	0.23	2.836721	0	0	0	0	0
807162	101288.406250	297.74	-0.780509	0.885854	-10.046070	-0.004256	-0.001064	0.015963	302.31	0.00	0.61	0.10	0.24	3.163668	0	0	0	0	0
812162	101269.125000	297.74	-0.742202	0.928950	-10.036493	-0.002128	0.000000	0.015963	302.36	0.01	0.95	0.54	0.23	4.830977	0	0	0	0	0
817162	101272.906250	297.75	-0.751779	0.957680	-10.031704	-0.002128	-0.004256	0.017027	301.96	0.01	0.78	0.45	0.24	4.503981	0	0	0	0	0
822162	101292.187500	297.75	-0.766144	0.948103	-10.036493	-0.006385	-0.001064	0.018091	302.21	0.00	0.59	0.25	0.23	2.836721	0	0	0	0	0
827162	101288.406250	297.74	-0.732625	0.924161	-10.026916	-0.015963	-0.007449	0.021284	302.36	0.01	0.86	0.41	0.23	3.163668	0	0	0	0	0
832162	101288.406250	297.74	-0.756567	0.938527	-10.084377	0.005321	0.000000	0.014899	302.16	0.01	0.91	0.36	0.24	3.163668	0	0	0	0	0
837162	101288.406250	297.74	-0.737414	0.943315	-10.046070	-0.005321	0.000000	0.017027	301.96	0.00	0.52	-0.00	0.24	3.163668	0	0	0	0	0
842162	101288.406250	297.74	-0.794874	0.837970	-9.950302	-0.019156	-0.018091	0.018091	302.21	0.01	0.12	-0.46	0.22	3.163668	0	0	0	0	0
847162	101288.406250	297.74	-0.708683	0.909796	-10.050858	-0.007449	-0.002128	0.018091	302.21	0.01	0.76	0.35	0.24	3.163668	0	0	0	0	0
852162	101288.406250	297.74	-0.766144	0.957680	-10.050858	-0.007449	0.005321	0.017027	302.16	0.00	0.34	0.00	0.24	3.163668	0	0	0	0	0
857162	101265.328125	297.72	-0.751779	0.928950	-10.060435	-0.005321	-0.001064	0.015963	302.01	0.01	1.01	0.44	0.23	5.159335	0	0	0	0	0
862162	101303.890625	297.72	-0.766144	0.890643	-10.065223	0.003192	0.013834	0.012770	302.16	0.01	0.13	-0.41	0.22	1.824872	0	0	0	0	0
867162	101288.406250	297.74	-0.746990	0.933738	-10.036493	-0.002128	-0.002128	0.020220	302.16	0.00	0.49	-0.03	0.23	3.163668	0	0	0	0	0
872162	101284.609375	297.72	-0.761356	0.914585	-10.026916	-0.003192	-0.001064	0.015963	302.11	0.01	0.81	0.34	0.24	3.491975	0	0	0	0	0
877162	101284.609375	297.72	-0.746990	0.938527	-10.060435	0.000000	0.002128	0.015963	302.21	0.01	0.78	0.34	0.24	3.491975	0	0	0	0	0
882162	101300.093750	297.70	-0.737414	0.895431	-9.993397	-0.003192	-0.001064	0.017027	302.16	0.00	0.24	-0.21	0.22	2.153139	0	0	0	0	0
887162	101280.812500	297.70	-0.756567	0.885854	-10.084377	0.003192	0.001064	0.015963	302.16	0.01	0.57	0.00	0.24	3.820292	0	0	0	0	0
892162	101277.031250	297.69	-0.727837	0.871489	-10.041281	0.000000	0.000000	0.015963	301.91	0.01	0.52	0.00	0.24	4.147268	0	0	0	0	0
897162	101280.812500	297.70	-0.770932	0.876277	-10.012551	-0.007449	-0.004256	0.018091	301.96	0.00	1.10	0.52	0.23	3.820292	0	0	0	0	0
902162	101292.515625	297.67	-0.742202	0.799663	-10.074800	-0.005321	-0.007449	0.019156	301.96	0.01	0.95	0.31	0.25	2.808351	0	0	0	0	0
907162	101273.234375	297.67	-0.746990	0.861912	-10.041281	0.002128	-0.003192	0.017027	302.11	0.02	1.22	0.66	0.25	4.475605	0	0	0	0	0
912162	101277.031250	297.69	-0.742202	0.842759	-10.074800	-0.003192	-0.002128	0.017027	302.01	0.00	1.04	0.53	0.24	4.147268	0	0	0	0	0
917162	101292.515625	297.67	-0.737414	0.837970	-10.098742	-0.005321	-0.001064	0.017027	302.01	0.01	0.63	0.11	0.25	2.808351	0	0	0	0	0
922162	101273.234375	297.67	-0.751779	0.857124	-10.060435	0.003192	0.003192	0.017027	302.16	0.01	0.47	-0.01	0.24	4.475605	0	0	0	0	0
