timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batterVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
10625116	100037.140625	283.95	-11.166556	-1.699883	-1.034295	0.128771	-0.018091	0.042569	289.43	3.94	0.61	-0.30	0.26	106.506736	0	0	0	0	0
10630116	100051.609375	283.93	-9.859322	0.000000	-0.263362	0.007449	0.001064	-0.010642	289.43	3.94	0.68	-0.08	-0.02	105.304008	0	0	0	0	0
10635116	100051.609375	283.93	-9.873687	-0.071826	-0.296881	0.011706	-0.002128	-0.009578	289.43	3.94	0.85	-0.15	0.06	105.304008	0	0	0	0	0
10640116	100051.609375	283.93	-9.888052	-0.014365	-0.268150	0.012770	-0.001064	-0.009578	289.38	3.94	1.44	0.42	0.07	105.304008	0	0	0	0	0
10645116	100033.390625	283.93	-9.873687	-0.047884	-0.296881	0.011706	-0.001064	-0.005321	289.38	3.94	1.20	0.11	0.00	106.818481	0	0	0	0	0
10650116	100029.656250	283.91	-9.883264	-0.110133	-0.301669	0.014899	0.001064	-0.005321	289.53	3.94	1.11	-0.10	0.04	107.128936	0	0	0	0	0
10655116	100029.656250	283.91	-9.835380	-0.138863	-0.296881	0.029798	0.000000	-0.004256	289.43	3.94	1.56	0.42	0.07	107.128936	0	0	0	0	0
10660116	100047.875000	283.91	-9.883264	-0.095768	-0.311246	0.012770	-0.002128	-0.010642	289.38	3.94	0.80	-0.09	0.04	105.614418	0	0	0	0	0
10665116	100047.875000	283.91	-9.950302	0.009576	-0.306457	0.006385	-0.001064	-0.005321	289.23	3.94	1.09	0.12	0.02	105.614418	0	0	0	0	0
10670116	100044.125000	283.90	-9.878476	-0.052672	-0.282515	0.010642	0.002128	-0.010642	289.28	3.94	1.03	-0.05	0.06	105.926139	0	0	0	0	0
10675116	100044.125000	283.90	-9.902418	-0.033518	-0.301669	0.009578	-0.002128	-0.004256	289.28	3.94	0.66	-0.28	-0.09	105.926139	0	0	0	0	0
10680116	100044.125000	283.90	-9.868899	-0.114921	-0.311246	0.013834	-0.002128	-0.006385	289.23	3.94	0.89	0.03	0.06	105.926139	0	0	0	0	0
10685116	100040.343750	283.88	-9.902418	0.004788	-0.325611	0.010642	0.002128	-0.007449	289.38	3.94	1.31	0.18	0.07	106.240463	0	0	0	0	0
10690116	100040.343750	283.88	-8.485051	1.307234	0.119710	0.208588	-0.003192	0.018091	289.09	3.95	0.90	-0.00	-0.19	106.240463	0	0	0	0	0
10695116	100036.593750	283.86	-9.859322	0.000000	-0.248996	0.006385	0.003192	-0.010642	289.38	3.94	1.06	0.15	-0.06	106.552200	0	0	0	0	0
10700116	100054.812500	283.86	-9.907206	-0.033518	-0.277727	0.018091	0.003192	-0.011706	289.43	3.94	0.60	-0.36	0.08	105.037773	0	0	0	0	0
10705116	100036.593750	283.86	-9.873687	-0.033518	-0.282515	0.012770	0.001064	-0.005321	289.04	3.94	1.16	0.29	-0.01	106.552200	0	0	0	0	0
10710116	100051.078125	283.85	-9.844957	-0.052672	-0.292092	0.012770	0.000000	-0.006385	289.43	3.94	1.20	0.10	-0.04	105.348167	0	0	0	0	0
10715116	100032.859375	283.85	-9.897629	-0.028730	-0.292092	0.011706	0.001064	-0.010642	289.09	3.94	0.99	-0.00	0.08	106.862648	0	0	0	0	0
10720116	100047.328125	283.83	-9.902418	-0.043095	-0.316034	0.013834	-0.004256	-0.004256	289.28	3.94	0.71	-0.12	0.05	105.659881	0	0	0	0	0
10725116	100047.328125	283.83	-9.878476	-0.038307	-0.320823	0.013834	-0.002128	-0.002128	289.23	3.94	1.05	-0.11	-0.13	105.659881	0	0	0	0	0
10730116	100047.328125	283.83	-9.868899	0.004788	-0.282515	0.014899	0.000000	-0.007449	289.19	3.94	0.82	-0.28	0.06	105.659881	0	0	0	0	0
10735116	100043.578125	283.81	-9.868899	-0.114921	-0.248996	0.017027	0.002128	-0.008513	289.28	3.94	0.87	-0.16	-0.07	105.971595	0	0	0	0	0
10740116	100043.578125	283.81	-9.897629	-0.047884	-0.277727	0.008513	0.002128	-0.011706	289.23	3.94	1.05	0.04	0.32	105.971595	0	0	0	0	0
10745116	100058.031250	283.80	-9.821015	-0.134075	-0.287304	0.007449	0.003192	-0.009578	289.28	3.94	0.62	-0.35	0.08	104.770233	0	0	0	0	0
10750116	100058.031250	283.80	-9.873687	-0.095768	-0.296881	0.014899	-0.001064	-0.006385	289.23	3.94	0.84	-0.29	-0.03	104.770233	0	0	0	0	0
10755116	100058.031250	283.80	-8.279149	0.718260	0.052672	0.136220	0.009578	0.001064	289.23	3.94	1.05	-0.22	-0.10	104.770233	0	0	0	0	0
10760116	100039.812500	283.80	-9.864110	0.000000	-0.268150	0.013834	-0.003192	-0.008513	289.23	3.94	1.46	0.23	0.10	106.284622	0	0	0	0	0
10765116	100036.062500	283.78	-9.576807	-0.636857	-0.536301	-0.069174	-0.018091	0.008513	289.38	3.94	1.58	0.15	-0.24	106.596359	0	0	0	0	0
10770116	100036.062500	283.78	-9.878476	-0.033518	-0.287304	0.011706	-0.001064	-0.010642	289.28	3.94	1.39	0.07	0.09	106.596359	0	0	0	0	0
10775116	100050.531250	283.76	-9.902418	-0.076614	-0.268150	0.013834	-0.002128	-0.005321	289.23	3.94	0.93	-0.45	0.04	105.393630	0	0	0	0	0
10780116	100032.312500	283.76	-9.998186	1.244984	0.756567	0.054275	0.048954	-0.112807	289.28	3.94	1.98	0.50	0.08	106.908111	0	0	0	0	0
10785116	100050.531250	283.76	-9.873687	-0.052672	-0.301669	0.012770	-0.001064	-0.006385	289.09	3.94	1.18	-0.21	0.17	105.393630	0	0	0	0	0
10790116	100028.562500	283.75	-9.854534	-0.086191	-0.316034	0.012770	0.000000	-0.004256	289.28	3.94	1.69	0.29	0.05	107.219863	0	0	0	0	0
10795116	100028.562500	283.75	-9.902418	-0.062249	-0.296881	0.010642	-0.002128	-0.006385	289.19	3.94	1.63	0.18	0.07	107.219863	0	0	0	0	0
10800116	100043.031250	283.73	-9.888052	-0.062249	-0.306457	0.010642	-0.001064	-0.006385	289.09	3.94	1.79	0.30	-0.07	106.017059	0	0	0	0	0
10805116	100024.828125	283.73	-9.902418	-0.076614	-0.268150	0.012770	0.000000	-0.009578	289.09	3.94	1.75	0.28	0.03	107.530334	0	0	0	0	0
10810116	100024.828125	283.73	-9.873687	-0.043095	-0.277727	0.012770	-0.002128	-0.006385	289.23	3.94	1.94	0.43	0.07	107.530334	0	0	0	0	0
10815116	100021.046875	283.71	-9.902418	-0.043095	-0.311246	0.014899	-0.002128	-0.007449	289.04	3.94	1.87	0.18	0.31	107.844703	0	0	0	0	0
10820116	100035.515625	283.70	-9.878476	-0.081402	-0.306457	0.017027	-0.003192	-0.005321	289.23	3.94	1.79	0.00	0.13	106.641822	0	0	0	0	0
10825116	100035.515625	283.70	-9.859322	-0.071826	-0.292092	0.009578	0.001064	-0.011706	289.23	3.94	1.54	-0.15	0.06	106.641822	0	0	0	0	0
10830116	100031.765625	283.68	-9.902418	-0.086191	-0.392649	0.014899	-0.001064	-0.006385	289.09	3.94	2.03	0.35	-0.13	106.953575	0	0	0	0	0
10835116	100031.765625	283.68	-9.888052	-0.081402	-0.272938	0.014899	0.001064	-0.006385	289.23	3.94	1.84	0.08	0.05	106.953575	0	0	0	0	0
10840116	100049.984375	283.68	-9.921571	-0.057460	-0.282515	0.011706	0.001064	-0.009578	289.09	3.94	1.63	-0.23	0.08	105.439086	0	0	0	0	0
10845116	100028.015625	283.66	-10.879252	-0.023942	-0.081402	0.143670	0.013834	-0.025541	288.99	3.94	2.07	0.36	0.31	107.265335	0	0	0	0	0
10850116	100042.453125	283.65	-9.878476	-0.090979	-0.287304	0.009578	-0.001064	-0.009578	288.99	3.94	1.84	0.10	0.20	106.065116	0	0	0	0	0
10855116	100042.453125	283.65	-9.911994	-0.081402	-0.306457	0.010642	-0.003192	-0.010642	288.84	3.94	-0.88	-0.31	0.08	105.636650	0	0	0	0	0
10857236	100111.531250	283.63	-83.533699	-0.004788	0.033518	0.808811	0.062789	0.040440	288.70	3.94	-3.24	8.12	59.73	99.919189	1	0	0	0	0
10857246	99965.875000	283.63	-80.052528	-3.002328	-4.094084	0.742829	0.051082	0.023412	289.09	3.94	-1.12	10.78	60.72	111.978607	1	0	0	0	0
10857256	100002.281250	283.63	-82.178581	-2.073378	-0.766144	0.147927	-0.009578	0.034055	289.04	3.94	-0.26	12.21	61.82	108.963066	1	0	0	0	0
10857266	99951.406250	283.65	-82.738822	-4.280832	-9.418788	-0.475708	-0.031926	0.051082	288.89	3.94	1.44	14.45	62.87	113.177307	1	0	0	0	0
10857276	100006.031250	283.65	-81.422012	-4.596867	-1.699883	-0.905655	0.190496	0.021284	289.23	3.94	1.62	15.18	63.70	108.652503	1	0	0	0	0
10857286	100020.484375	283.63	-80.454750	-2.935291	0.349553	-0.398020	-0.062789	0.021284	289.23	3.94	1.45	15.57	64.36	107.455627	1	0	0	0	0
10857296	99951.406250	283.65	-82.398841	-1.738190	-3.260902	-0.673654	0.092587	0.067046	289.38	3.94	2.76	17.39	65.14	113.177307	1	0	0	0	0
10857306	100093.328125	283.63	-80.833038	-0.392649	0.158017	-0.952481	-0.090459	0.029798	289.04	3.94	0.83	16.04	65.71	101.425514	1	0	0	0	0
10857316	99984.078125	283.63	-79.530593	-1.422155	-0.167594	-0.790719	-0.096844	0.027669	289.19	3.94	1.63	17.35	66.09	110.470726	1	0	0	0	0
10857326	100078.875000	283.65	-81.498626	-1.771709	0.019153	-0.716223	0.068110	0.022348	289.19	3.94	0.28	16.57	66.62	102.621681	1	0	0	0	0
10857336	100038.703125	283.63	-81.455528	-3.126827	-2.035071	-0.616186	0.109615	0.005321	288.70	3.94	0.09	16.93	67.10	105.947120	1	0	0	0	0
10857346	99984.078125	283.63	-80.703750	-1.048660	1.968033	-0.336295	0.028734	0.029798	289.09	3.94	1.07	18.42	67.46	110.470726	1	0	0	0	0
10857356	99984.078125	283.63	-78.501083	-2.643198	-2.255337	-0.084073	0.025541	0.027669	289.19	3.94	1.83	19.66	67.58	110.470726	1	0	0	0	0
10857366	100020.484375	283.63	-80.435600	-1.450886	2.164358	-0.122385	0.160697	0.031926	288.99	3.94	1.65	20.00	67.87	107.455627	1	0	0	0	0
10857376	100006.031250	283.65	-81.206535	-2.322375	-1.742978	-0.112807	0.114936	0.028734	289.38	3.94	1.82	20.67	68.20	108.652503	1	0	0	0	0
